Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-08-05,15:00 (08:00),Community Shield,FA Community Shield,Sun,Neutral,L,0,2,Manchester City,,,47,72724,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,
2018-08-11,15:00 (08:00),Premier League,Matchweek 1,Sat,Away,W,3,0,Huddersfield,1.9,0.3,62,24121,César Azpilicueta,4-3-3,Chris Kavanagh,Match Report,
2018-08-18,17:30 (10:30),Premier League,Matchweek 2,Sat,Home,W,3,2,Arsenal,1.6,2.4,62,40491,César Azpilicueta,4-3-3,Martin Atkinson,Match Report,
2018-08-26,16:00 (09:00),Premier League,Matchweek 3,Sun,Away,W,2,1,Newcastle Utd,1.5,0.2,80,51791,César Azpilicueta,4-3-3,Paul Tierney,Match Report,
2018-09-01,15:00 (08:00),Premier League,Matchweek 4,Sat,Home,W,2,0,Bournemouth,1.1,0.9,72,40178,César Azpilicueta,4-3-3,Lee Mason,Match Report,
2018-09-15,15:00 (08:00),Premier League,Matchweek 5,Sat,Home,W,4,1,Cardiff City,2.6,0.7,76,40499,César Azpilicueta,4-3-3,Jonathan Moss,Match Report,
2018-09-20,19:55 (10:55),Europa Lg,Group stage,Thu,Away,W,1,0,gr PAOK,2.6,0.1,68,24310,Willian,4-3-3,Alberto Undiano,Match Report,
2018-09-23,13:30 (06:30),Premier League,Matchweek 6,Sun,Away,D,0,0,West Ham,1.5,1.0,71,56875,César Azpilicueta,4-3-3,Mike Dean,Match Report,
2018-09-26,19:45 (12:45),EFL Cup,Third round,Wed,Away,W,2,1,Liverpool,,,54,45503,Gary Cahill,4-3-3,Kevin Friend,Match Report,
2018-09-29,17:30 (10:30),Premier League,Matchweek 7,Sat,Home,D,1,1,Liverpool,1.1,1.6,47,40625,César Azpilicueta,4-3-3,Andre Marriner,Match Report,
2018-10-04,20:00 (13:00),Europa Lg,Group stage,Thu,Home,W,1,0,hu Vidi,3.5,0.5,75,39925,Gary Cahill,4-3-3,Miroslav Zelinka,Match Report,
2018-10-07,14:15 (07:15),Premier League,Matchweek 8,Sun,Away,W,3,0,Southampton,2.9,1.6,65,27077,César Azpilicueta,4-3-3,Craig Pawson,Match Report,
